,diabetes_crude_prev,obesity_crude_prev,bphigh_crude_prev,csmoking_crude_prev,lpa_crude_prev,checkup_crude_prev,access2_crude_prev
diabetes_crude_prev,1.0,0.6694740510476337,0.8260565320678867,0.6557078304854398,0.6754088676361056,0.29885929401353256,0.45286642961085505
obesity_crude_prev,0.6694740510476337,1.0,0.7206928587814745,0.832990940496345,0.8081671138147657,0.23917105006451786,0.5873132613331967
bphigh_crude_prev,0.8260565320678867,0.7206928587814745,1.0,0.6907588246319155,0.7126251892367751,0.3648788280797777,0.4533784764368433
csmoking_crude_prev,0.6557078304854398,0.832990940496345,0.6907588246319155,1.0,0.8714394269991894,0.17890888429259083,0.7034284447690523
lpa_crude_prev,0.6754088676361056,0.8081671138147657,0.7126251892367751,0.8714394269991894,1.0,0.18714605387495872,0.8004532037130855
checkup_crude_prev,0.29885929401353256,0.23917105006451786,0.3648788280797777,0.17890888429259083,0.18714605387495872,1.0,-0.104801001424647
access2_crude_prev,0.45286642961085505,0.5873132613331967,0.4533784764368433,0.7034284447690523,0.8004532037130855,-0.104801001424647,1.0
